Accion,Cotizacion
LIFWW,0.003599999938160181
GSMGW,0.0044999998062849045
VIEWW,0.004999999888241291
LGHLW,0.005100000184029341
SNAXW,0.00570000009611249
SHPWW,0.00570000009611249
ESGLW,0.006399999838322401
PRENW,0.006599999964237213
SONDW,0.006800000090152025
ASCB`W`,0.0071000000461936
NCNCW,0.007199999876320362
BENFW,0.007300000172108412
CSSEL,0.007499999832361937
MNTSW,0.007499999832361937
AGRIW,0.007699999958276749
CEADW,0.007799999788403511
ATNFW,0.008200000040233135
PUCKW,0.008299999870359898
HOFVW,0.00839999970048666
AREBW,0.00839999970048666
MSSAW,0.008899999782443047
CPTNW,0.009399999864399433
SMXWW,0.009499999694526196
ISPOW,0.009999999776482582
GBBKW,0.009999999776482582
ALSAW,0.010099999606609344
MVLAW,0.010300000198185444
GDSTW,0.010499999858438969
SLNAW,0.010700000450015068
FFIEW,0.011099999770522118
EDBLW,0.011099999770522118
UKOMW,0.011099999770522118
DRMAW,0.01140000019222498
VWEWW,0.011599999852478504
BRSHW,0.012000000104308128
GLSTW,0.012500000186264515
STIXW,0.013000000268220901
BROGW,0.013000000268220901
AAGRW,0.013000000268220901
ATMCW,0.013100000098347664
HYMCW,0.014000000432133675
CNGLW,0.014000000432133675
USCTW,0.01510000042617321
AGBAW,0.015799999237060547
HUBCW,0.016200000420212746
KPLTW,0.016499999910593033
LTRYW,0.017000000923871994
LIDRW,0.01730000041425228
ONMDW,0.01810000091791153
PRSTW,0.018400000408291817
PLTNW,0.01940000057220459
BNIXW,0.019500000402331352
BCDAW,0.019600000232458115
HYMCL,0.019899999722838402
SWVLW,0.019999999552965164
BNZIW,0.019999999552965164
CETUW,0.019999999552965164
SVMHW,0.019999999552965164
ORGNW,0.020099999383091927
AWINW,0.020400000736117363
DISTW,0.020899999886751175
CURIW,0.02199999988079071
DFLIW,0.023000000044703484
FIACW,0.023000000044703484
WKSPW,0.023900000378489494
GTACW,0.02500000037252903
ADNWW,0.02500000037252903
BFIIW,0.02500000037252903
ARTLW,0.02500000037252903
IMAQW,0.02500000037252903
HSPOW,0.02500000037252903
ONFOW,0.025100000202655792
PTIXW,0.025100000202655792
APLMW,0.026000000536441803
PPHPW,0.026499999687075615
XOSWW,0.02710000053048134
GLLIW,0.02759999968111515
WISA,0.027799999341368675
KITTW,0.02850000001490116
NCPLW,0.028999999165534973
SPECW,0.02930000051856041
NVVEW,0.02979999966919422
NXLIW,0.029899999499320984
DHAIW,0.029899999499320984
AUUDW,0.029999999329447746
TCBPW,0.029999999329447746
GATEW,0.029999999329447746
PFTAW,0.029999999329447746
CMCAW,0.029999999329447746
ECXWW,0.029999999329447746
SHCRW,0.029999999329447746
SWSSW,0.029999999329447746
DCFCW,0.029999999329447746
NLSPW,0.03009999915957451
PWUPW,0.03009999915957451
CMAXW,0.03009999915957451
IXAQW,0.03009999915957451
BTCTW,0.030300000682473183
LIBYW,0.030400000512599945
AENTW,0.03060000017285347
INAQW,0.03099999949336052
HYZNW,0.031099999323487282
IROHW,0.031099999323487282
CISS,0.031099999323487282
YOTAW,0.03150000050663948
GGE,0.03150000050663948
AVHIW,0.03150000050663948
RMCOW,0.032600000500679016
COEPW,0.033399999141693115
FLFVW,0.03400000184774399
ACONW,0.03400000184774399
MAQCW,0.03500000014901161
PTWOW,0.03500000014901161
ZCARW,0.03500000014901161
CLVRW,0.03500000014901161
FRLAW,0.035100001841783524
BCSAW,0.03700000047683716
SABSW,0.03700000047683716
APACW,0.037700001150369644
MLECW,0.03849999979138374
OSAAW,0.039000000804662704
EGOX,0.03929999843239784
IGTAW,0.039900001138448715
ASCAW,0.03999999910593033
GOVXW,0.04010000079870224
DATSW,0.04039999842643738
AEAEW,0.040699999779462814
SYTAW,0.040699999779462814
HHGCW,0.04089999943971634
FORLW,0.041099999099969864
CELUW,0.041099999099969864
NBSTW,0.04170000180602074
LFLYW,0.04390000179409981
VSSYW,0.04399999976158142
NVNIW,0.04500000178813934
PAVMZ,0.04500000178813934
BLEUR,0.046300001442432404
NMHIW,0.04699999839067459
TRONW,0.05000000074505806
RWODW,0.05000000074505806
PMGMW,0.05000000074505806
XFINW,0.05000000074505806
BUJAW,0.05000000074505806
VRMEW,0.05000000074505806
NWTNW,0.05009999871253967
ACABW,0.050200000405311584
MSAIW,0.050200000405311584
IVP,0.05040000006556511
LIXTW,0.05119999870657921
HOVRW,0.05299999937415123
ABLVW,0.05350000038743019
TNONW,0.054999999701976776
UCAR,0.05510000139474869
BRSH,0.0560000017285347
SHFSW,0.05739999935030937
SBFM,0.05900000035762787
GPACW,0.05909999832510948
CRKN,0.05950000137090683
DCFC,0.05959999933838844
CLNNW,0.05990000069141388
GMFIW,0.05999999865889549
BZFDW,0.05999999865889549
ACACW,0.05999999865889549
FREEW,0.05999999865889549
MAPSW,0.05999999865889549
COOTW,0.060100000351667404
VERBW,0.06080000102519989
JTAIW,0.061000000685453415
JFBRW,0.06289999932050705
CITEW,0.06289999932050705
PEGY,0.06360000371932983
NUKKW,0.06499999761581421
WGSWW,0.06499999761581421
KRNLW,0.0689999982714653
ESLAW,0.0697999969124794
GRDIW,0.07000000029802322
MTEKW,0.07000000029802322
RELIW,0.07000000029802322
GDEVW,0.07000000029802322
SVREW,0.07000000029802322
FHLTW,0.07000000029802322
TBMCR,0.07000000029802322
BENF,0.07100000232458115
DAVEW,0.07100000232458115
JAGX,0.07190000265836716
EZGO,0.07199999690055847
AACIW,0.0731000006198883
PROCW,0.0738999992609024
